No.,Quantity,Comment,Designator,Footprint
1,1,X5521FV-2x13-C70D30-1000,H2,HDR-TH_26P-P2.54-V-F-R2-C13-S2.54-3
2,1,GL0603UG01,LED-G1,LED0603-RD
3,1,LTST-C190KSKT,LED-Y1,LED0603-RD
4,1,2.54-2*13P,P1,HDR-TH_26P-P2.54-V-F-R2-C13-S2.54-1
5,3,2.2kΩ,"R8,R9,R40",R0603
6,2,470Ω,"R36,R37",R0603
7,1,10kΩ,R41,R0603
8,2,TS-1088-AR02016,"SW1,SW2",SW-SMD_L3.9-W3.0-P4.45
9,1,PZ2.54-2*4,U2,HDR-TH_8P-P2.54-V-M-R2-C4-S2.54
10,1,AQS221R2S,U8,SO-16_L10.3-W4.4-P1.27-LS7.0-BL
11,1,AF 90° WJDG,USB1,USB-A-TH_AF-WJDG
